FID,id,cod_craai,cod_mun,municipio,zona_eleitoral,cd_local,nm_local,nm_local2,bairro,endereco,total_seção,total_aptos,X,Y,geom
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c4,1,6,3302502,MAGÉ,148,1201,ESCOLA ESTADUAL PROFESSORA ALDA BERNARDO DOS SANTOS TAVARES,ESCOLA ESTADUAL PROFESSORA ALDA BERNARDO DOS SANTOS TAVARES,CENTRO,RUA BRASIL 153,16,5684,-43.17731,-22.60976,POINT (-43.177310000000006 -22.609759999999998)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c3,2,6,3302502,MAGÉ,148,1210,C. E. JOSÉ VERÍSSIMO,C. E.  JOSE VERISSIMO,RAIZ DA SERRA,AV. AUTOMÓVEL CLUBE,26,6621,-43.18697,-22.57662,POINT (-43.18696999999999 -22.576620000000013)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c2,3,6,3302502,MAGÉ,148,1279,CIEP 127 - FREI ACURSIO ALUIZIO GONZAGA,CIEP 127 - FREI ACURSIO ALUIZIO GONZAGA,MAURIMARCIA,RUA TREZE S/N,16,5941,-43.17808,-22.62452,POINT (-43.17808000000001 -22.62452)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c1,4,6,3302502,MAGÉ,148,1198,CIEP 441 - MANÉ GARRINCHA,CIEP 441 - MANE GARRINCHA,PAU GRANDE,RUA JOSÉ PEREIRA DE SOUZA S/N,11,3619,-43.1696,-22.58588,POINT (-43.1696 -22.58588)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57c0,5,6,3302502,MAGÉ,148,1082,COLÉGIO ESTADUAL PROFESSOR ALFREDO BALTHAZAR DA SILVEIRA,COLÉGIO ESTADUAL  PROFESSOR ALFREDO BALTHAZAR DA SILVEIRA,PIABETÁ,RUA GUARANY S/N,18,7106,-43.17188,-22.61353,POINT (-43.171880000000016 -22.613530000000022)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bf,6,6,3302502,MAGÉ,148,1317,ESCOLA MUNICIPAL AURELIANO COUTINHO,ESCOLA MUNICIIPAL AURELIANO COUTINHO,PIABETÁ,ESTRADA MUNICIPAL S/N,17,5831,-43.17187,-22.60975,POINT (-43.171870000000006 -22.60975000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57be,7,6,3302502,MAGÉ,148,1104,ESCOLA MUNICIPAL DOUTOR DOMINGOS BELIZZE,ESCOLA MUNICIPAL DOUTOR DOMINGOS BELIZZE,VILA RECREIO,ESTRADA DO CONTORNO KM 10 - PARQUE VILA RECREIO S/N,4,1059,-43.19514,-22.64615,POINT (-43.19514000000001 -22.64615000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bd,8,6,3302502,MAGÉ,148,1155,ESCOLA MUNICIPAL TIRADENTES (ERNESTO COZZOLINO),ESCOLA MUNICIPAL TIRADENTES (ERNESTO COZZOLINO),PARQUE ESTRELA,RUA 11 DE JULHO S/N,5,1870,-43.21148,-22.6472,POINT (-43.21148000000001 -22.647200000000016)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bc,9,6,3302502,MAGÉ,148,1694,ESCOLA MUNICIPAL GANDUR ASSED,ESCOLA MUNICIPAL GANDUR ASSED,FRAGOSO,RUA UM S/N,3,999,-43.18736,-22.5844,POINT (-43.187360000000005 -22.584400000000013)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57bb,10,6,3302502,MAGÉ,148,1589,ESCOLA MUNICIPAL PROFESSOR GISNEI CAMARA,ESCOLA MUNICIPAL PROFESSOR GISNEI CAMARA,ILHA,RUA ARISTIDES PORTUGAL 353,4,1525,-43.17278,-22.59583,POINT (-43.17278000000002 -22.595830000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ba,11,6,3302502,MAGÉ,148,1376,PRIMEIRA IGREJA BATISTA DE PIABETA,PRIMEIRA IGREJA BATISTA DE PIABETA,CENTRO,RUA BRASIL 235,14,4679,-43.1764,-22.61002,POINT (-43.1764 -22.61002)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b9,12,6,3302502,MAGÉ,148,1686,ESCOLA MUNICIPAL GERALDA ALVES DA SILVA (RAPHAEL COZZOLINO),ESCOLA MUNICIPAL GERALDA ALVES DA SILVA (RAPHAEL COZZOLINO),VILA RAQUEL,RUA GUARANI 1978,20,6961,-43.16258,-22.61938,POINT (-43.162579999999984 -22.619379999999996)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b8,13,6,3302502,MAGÉ,148,1074,CENTRO EDUCACIONAL SOARES COIMBRA,COLEGIO SOARES COIMBRA,FRAGOSO,RUA SANDRO GOMES DOS SANTOS 452,11,4110,-43.18549,-22.59326,POINT (-43.18548999999999 -22.59326000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b7,14,6,3302502,MAGÉ,148,1228,E. M. PROFESSORA JUPIRA FERREIRA CORREA,ESCOLA MUNICIPAL PROFESSORA JUPIRA FERREIRA CORREA,PIABETÁ,RUA CARAMURU 150,9,2861,-43.17686,-22.60753,POINT (-43.17686000000002 -22.607529999999997)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b6,15,6,3302502,MAGÉ,148,1414,ESCOLA MUNICIPAL ELZA TEIXEIRA DE PAIVA,ESCOLA MUNICIPAL ELZA TEIXEIRA DE PAIVA,JARDIM SAO PAULO,RUA MARIA CRISTINA BURACO DA ONCA S/N,6,2178,-43.18772,-22.60929,POINT (-43.18772000000001 -22.609290000000012)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b5,16,6,3302502,MAGÉ,148,1490,E. M. DR ANTONIO DA ROCHA PARANHOS,ESCOLA MUNICIPAL DOUTOR ANTONIO DA ROCHA PARANHOS,PARQUE PARANHOS,PRAÇA PARANHOS 30,4,1411,-43.19157,-22.63242,POINT (-43.191570000000006 -22.632419999999993)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b4,17,6,3302502,MAGÉ,148,1066,CIEP 219 - NAÇÃO YANOMANI - ENY DA SILVA,CIEP 219 - NACAO YANOMANI  - ENY DA SILVA,PARQUE HUMAITA,RUA IRMAOS SCHNAIDER S/N,11,3999,-43.19507,-22.62037,POINT (-43.19507000000001 -22.62037)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b3,18,6,3302502,MAGÉ,148,1473,E. M. GERALDA IZAURA (BENITO ALEM COZZOLINO),ESCOLA MUNICIPAL GERALDA IZAURA (BENITO ALEM  COZZOLINO),PARQUE SANTANA,SANTOS DUMONT S/N,12,4139,-43.18184,-22.62915,POINT (-43.181840000000015 -22.629150000000017)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b2,19,6,3302502,MAGÉ,148,1457,E. M. PROFESSOR DANIEL SOARES SILVA (MARIA T. COZZOLINO),ESCOLA MUNICIPAL PROFESSOR DANIEL SOARES SILVA (MARIA T. COZZOLINO),JARDIM NAZARENO,AV. AUTOMOVEL CLUBE KM 59 N. 745,15,5175,-43.19455,-22.60909,POINT (-43.194549999999985 -22.609089999999995)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b1,20,6,3302502,MAGÉ,148,1546,E. M. PROFESSORA ALICE DA SILVA S. DE PAIVA,ESCOLA MUNICIPAL PROFESSORA ALICE DA SILVA S. DE PAIVA,PARQUE CAÇULA,RUA C QD 6 LT 4,10,3340,-43.18584,-22.61596,POINT (-43.185840000000006 -22.615959999999994)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57b0,21,6,3302502,MAGÉ,148,1139,ESCOLA MUNICIPAL ROSENI DOS SANTOS SILVA,ESCOLA MUNICIPAL PROFESSORA ROSENI DOS SANTOS SILVA,PONTE PRETA,RUA JOAQUIM TOMAZ 90 PONTE PRETA,4,1275,-43.20422,-22.63929,POINT (-43.20422000000001 -22.63929000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57af,22,6,3302502,MAGÉ,148,1570,E. M. RENATA FRANCO (PERGENTINA COZZOLINO),ESCOLA MUNICIPAL RENATA FRANCO (PERGENTINA COZZOLINO),FRAGOSO,RUA C S/N LOTEAMENTO PARAGUAI,12,4026,-43.19186,-22.59427,POINT (-43.191859999999984 -22.594270000000023)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ae,23,6,3302502,MAGÉ,148,1031,E. M. VEREADOR GERALDO ÂNGELO PEREIRA,ESCOLA MUNICIPAL VEREADOR GERALDO ÂNGELO PEREIRA,FRAGOSO,RUA J S/N (PRAÇA CARLOS DE SOUZA),15,5499,-43.18257,-22.59502,POINT (-43.18256999999999 -22.59502000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ad,24,6,3302502,MAGÉ,148,1147,E. M. MARCILIO DIAS,ESCOLA MUNICIPAL MARCILIO DIAS,CACHOEIRA GRANDE,ESTRADA DA CACHOEIRA GRANDE S/N,4,1435,-43.13769,-22.59686,POINT (-43.13768999999999 -22.596859999999996)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ac,25,6,3302502,MAGÉ,148,1678,E. M. JOÃO RODRIGUES,ESCOLA MUNICIPAL JOÃO RODRIGUES,PARQUE DOS ARTISTAS,RUA MARISA PRADO 274,5,1004,-43.15273,-22.6152,POINT (-43.15272999999999 -22.61520000000001)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57ab,26,6,3302502,MAGÉ,148,1708,ESCOLA MUNICIPAL PROFESSORA ALICE DA SILVA S. DE PAIVA,ESCOLA MUNICIPAL PROFESSORA ALICE DA SILVA S. DE PAIVA,PARQUE CAÇULA,RUA C QD 6 LT 4,1,1,-43.18583,-22.61599,POINT (-43.18583000000001 -22.615990000000014)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57aa,27,6,3302502,MAGÉ,110,1031,COLÉGIO ESTADUAL DE MAGÉ,COLÉGIO ESTADUAL DE MAGÉ,CENTRO,RUA COMENDADOR REIS S/N,10,3762,-43.04205,-22.65308,POINT (-43.04205000000001 -22.653080000000006)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a9,28,6,3302502,MAGÉ,110,1066,GRUPO POTÊNCIA (GPI),GRUPO POTENCIA (GPI),CENTRO,RUA PAPA PIO XII 47,10,2486,-43.03768,-22.6541,POINT (-43.03768000000001 -22.654100000000007)
eleitoral_locais_2018.fid--6f75551e_1678f484c18_-57a8,29,6,3302502,MAGÉ,110,1074,CIEP 128,CIEP 128,TÊNIS CLUBE,RUA ALMIR REPANI S/N,15,4150,-43.04365,-22.65901,POINT (-43.04365 -22.659010000000006)
